Quarter,No_of_actual_delq,No_of_pred_delq,No_of_records,No_of_delq_properly_classified,No_of_nonDelq_improperly_classified_as_delq
data/Q42007.csv,136475.0,17712.0,359320.0,10101.0,7611.0
data/Q42006.csv,134917.0,3039.0,359320.0,1849.0,1190.0
data/Q42008.csv,90311.0,24037.0,359320.0,15538.0,8499.0
data/Q42005.csv,159042.0,102947.0,359319.0,61780.0,41167.0
data/Q42004.csv,141376.0,71481.0,359320.0,40495.0,30986.0
data/Q42001.csv,147760.0,77093.0,359320.0,43354.0,33739.0
data/Q32008.csv,91352.0,35343.0,338471.0,23038.0,12305.0
data/Q32005.csv,152720.0,118432.0,338471.0,69962.0,48470.0
data/Q42003.csv,155493.0,91929.0,359320.0,52803.0,39126.0
data/Q42000.csv,168123.0,125461.0,359320.0,76496.0,48965.0
data/Q32007.csv,143246.0,81326.0,338471.0,46407.0,34919.0
data/Q32004.csv,135655.0,75250.0,338471.0,42657.0,32593.0
data/Q42002.csv,158027.0,101673.0,359319.0,59076.0,42597.0
data/Q41999.csv,145755.0,75109.0,359319.0,42386.0,32723.0
data/Q32006.csv,135972.0,70875.0,338471.0,40118.0,30757.0
data/Q32003.csv,143864.0,90950.0,338471.0,53883.0,37067.0
data/Q22006.csv,184833.0,139543.0,419909.0,84064.0,55479.0
data/Q22003.csv,180818.0,115475.0,419909.0,67544.0,47931.0
data/Q31999.csv,135041.0,78700.0,338471.0,46421.0,32279.0
data/Q32002.csv,137322.0,75092.0,338471.0,43402.0,31690.0
data/Q22008.csv,111240.0,37628.0,419909.0,24069.0,13559.0
data/Q22005.csv,189548.0,134880.0,419909.0,83010.0,51870.0
data/Q22002.csv,168466.0,94689.0,419909.0,54751.0,39938.0
data/Q32001.csv,133209.0,73131.0,338471.0,42255.0,30876.0
data/Q32000.csv,145503.0,106680.0,338471.0,61203.0,45477.0
data/Q22007.csv,169993.0,91532.0,419909.0,51067.0,40465.0
data/Q22004.csv,176497.0,110891.0,419908.0,66608.0,44283.0
data/Q22001.csv,162460.0,91358.0,419909.0,53248.0,38110.0
data/Q22000.csv,170535.0,100760.0,419909.0,58606.0,42154.0
data/Q12001.csv,136446.0,79805.0,344054.0,46613.0,33192.0
data/Q12004.csv,139725.0,86630.0,344055.0,52317.0,34313.0
data/Q12007.csv,144342.0,94500.0,344054.0,54964.0,39536.0
data/Q21999.csv,165245.0,92897.0,419908.0,54265.0,38632.0
data/Q12000.csv,139540.0,87941.0,344055.0,51871.0,36070.0
data/Q12003.csv,148114.0,103924.0,344054.0,63293.0,40631.0
data/Q12006.csv,139756.0,86165.0,344055.0,51351.0,34814.0
data/Q11999.csv,137873.0,86573.0,344054.0,51843.0,34730.0
data/Q12008.csv,93841.0,26312.0,344055.0,15725.0,10587.0
data/Q12005.csv,148387.0,100307.0,344054.0,59670.0,40637.0
data/Q12002.csv,148194.0,102366.0,344055.0,61807.0,40559.0
