loan_sequence_no,monthly_reporting_period,curr_actual_upb,curr_loan_delinquency_status,loan_age,remaining_months_to_legal_maturity,curr_interest_rate,curr_deferred_upb
F116Q1000005,201602,125000.0,0,0,241,3.75,0
F116Q1000065,201605,61000.0,0,3,177,3.5,0
F116Q1000079,201606,113000.0,1,4,356,4.125,0
F116Q1000180,201606,197000.0,0,4,356,4.75,0
F116Q1000184,201607,78000.0,0,5,235,4.25,0
F116Q1000187,201604,120000.0,0,2,358,4.125,0
F116Q1000256,201611,47814.41,0,9,231,4.25,0
F116Q1000261,201606,175000.0,1,4,356,4.25,0
F116Q1000261,201610,174504.66,1,8,352,4.25,0
F116Q1000282,201612,227766.25,0,10,350,4.25,0
F116Q1000358,201612,162580.87,1,9,351,4.625,0
F116Q1000376,201604,125000.0,1,2,358,3.625,0
F116Q1000401,201603,100000.0,0,0,180,3.25,0
F116Q1000404,201607,101000.0,0,5,355,4.25,0
F116Q1000464,201611,157987.77,0,9,351,4.25,0
F116Q1000510,201604,156000.0,0,2,178,3.75,0
F116Q1000546,201603,83000.0,0,1,179,3.5,0
F116Q1000551,201611,151852.73,0,9,171,2.875,0
F116Q1000563,201610,89249.38,1,7,353,4.25,0
F116Q1000563,201612,88995.61,1,9,351,4.25,0
F116Q1000596,201609,383057.55,0,7,353,4.0,0
F116Q1000632,201603,95000.0,0,1,179,3.25,0
F116Q1000641,201608,154000.0,0,6,354,4.125,0
F116Q1000648,201604,122000.0,1,2,358,4.125,0
F116Q1000742,201609,326854.16,0,7,353,4.375,0
F116Q1000748,201609,184415.02,0,7,354,4.0,0
F116Q1000765,201612,195104.03,0,10,350,4.0,0
F116Q1000779,201609,132059.62,0,7,353,4.25,0
F116Q1000781,201610,91718.78,0,8,172,3.375,0
F116Q1000788,201607,127000.0,0,5,355,4.125,0
F116Q1000796,201605,404000.0,1,2,358,3.75,0
F116Q1000832,201611,112965.01,1,7,353,3.875,0
F116Q1000832,201612,112793.71,1,8,352,3.875,0
F116Q1000837,201607,85000.0,1,5,355,4.125,0
F116Q1000837,201608,85000.0,1,6,354,4.125,0
F116Q1000837,201609,84710.84,1,7,353,4.125,0
F116Q1000837,201610,84587.65,1,8,352,4.125,0
F116Q1000837,201611,84464.04,1,9,351,4.125,0
F116Q1000837,201612,84464.04,1,10,350,4.125,0
F116Q1000853,201604,42000.0,0,1,179,3.25,0
F116Q1000858,201608,413000.0,0,6,354,3.875,0
F116Q1000872,201606,107000.0,0,4,356,4.0,0
F116Q1000935,201602,60000.0,0,0,360,4.25,0
F116Q1000980,201606,182000.0,1,4,356,4.25,0
F116Q1000980,201608,182000.0,1,6,354,4.25,0
F116Q1000980,201609,181473.8,1,7,353,4.25,0
F116Q1000991,201611,123958.52,0,9,351,3.875,0
F116Q1000998,201604,182000.0,1,2,358,3.875,0
F116Q1001016,201603,56000.0,0,1,179,3.5,0
F116Q1001053,201604,100000.0,0,0,360,4.125,0
F116Q1001073,201609,250881.76,0,7,353,3.875,0
F116Q1001094,201609,82822.68,1,7,173,3.375,0
F116Q1001132,201608,114000.0,1,6,354,4.0,0
F116Q1001133,201608,42000.0,0,6,174,3.625,0
F116Q1001141,201604,145000.0,0,2,358,4.25,0
F116Q1001143,201607,64000.0,1,5,175,3.5,0
F116Q1001143,201612,62975.82,1,10,170,3.5,0
F116Q1001159,201604,145000.0,0,2,358,4.875,0
F116Q1001160,201603,100000.0,0,1,179,3.5,0
F116Q1001177,201605,143000.0,0,3,357,4.125,0
F116Q1001184,201605,56000.0,0,3,357,4.625,0
F116Q1001193,201604,50000.0,0,2,178,3.25,0
F116Q1001212,201610,130774.26,0,8,172,3.25,0
F116Q1001257,201612,343798.59,0,9,171,3.125,0
F116Q1001307,201607,218000.0,0,5,355,3.875,0
F116Q1001323,201606,104000.0,0,3,357,4.125,0
F116Q1001372,201608,259000.0,0,6,354,4.375,0
F116Q1001408,201605,118000.0,0,3,357,4.25,0
F116Q1001428,201608,121000.0,1,6,354,4.5,0
F116Q1001428,201609,120461.87,1,7,353,4.5,0
F116Q1001499,201604,208000.0,0,2,358,4.5,0
F116Q1001559,201605,118000.0,0,3,357,4.125,0
F116Q1001559,201608,118000.0,0,6,354,4.125,0
F116Q1001580,201612,71623.7,0,9,351,4.0,0
F116Q1001629,201607,117000.0,0,5,175,3.5,0
F116Q1001702,201612,104833.55,0,10,350,4.0,0
F116Q1001711,201610,161112.74,0,8,172,3.125,0
F116Q1001724,201606,201000.0,1,4,356,3.875,0
F116Q1001732,201605,80000.0,0,3,356,4.25,0
F116Q1001752,201607,282000.0,0,5,355,4.25,0
F116Q1001813,201611,158517.36,0,9,171,3.25,0
F116Q1001851,201606,24000.0,0,3,177,4.25,0
F116Q1001870,201609,286657.82,0,7,353,3.875,0
F116Q1001933,201609,142000.0,1,6,353,4.625,0
F116Q1001940,201605,144000.0,1,2,358,4.625,0
F116Q1001940,201606,144000.0,1,3,357,4.625,0
F116Q1001940,201607,143000.0,1,4,356,4.625,0
F116Q1001940,201608,143000.0,1,5,355,4.625,0
F116Q1001940,201609,143000.0,1,6,354,4.625,0
F116Q1001940,201610,143066.04,1,7,353,4.625,0
F116Q1001940,201611,142877.08,1,8,352,4.625,0
F116Q1001940,201612,142496.97,1,9,351,4.625,0
F116Q1001950,201602,127000.0,0,0,360,4.25,0
F116Q1001968,201607,145000.0,0,5,175,3.375,0
F116Q1001983,201609,117566.63,0,7,353,4.125,0
F116Q1001997,201612,241986.13,0,9,351,4.375,0
F116Q1002051,201608,65000.0,1,6,174,3.25,0
F116Q1002051,201609,64765.29,1,7,173,3.25,0
F116Q1002051,201610,64765.29,1,8,172,3.25,0
F116Q1002051,201611,63887.33,1,9,171,3.25,0
F116Q1002102,201607,251000.0,0,5,355,4.125,0
F116Q1002107,201606,143000.0,0,4,356,4.25,0
F116Q1002110,201606,135000.0,1,2,358,4.125,0
F116Q1002113,201604,190000.0,0,2,358,4.125,0
F116Q1002135,201611,203647.69,0,9,351,4.125,0
F116Q1002147,201604,101000.0,1,2,358,4.0,0
F116Q1002177,201605,77000.0,0,3,357,4.0,0
F116Q1002198,201604,96000.0,0,2,358,4.375,0
F116Q1002213,201609,383000.0,0,5,176,3.25,0
F116Q1002238,201612,114514.3,0,10,350,4.75,0
F116Q1002264,201610,108951.41,0,7,353,4.375,0
F116Q1002299,201606,229000.0,1,3,357,4.125,0
F116Q1002314,201604,160000.0,0,2,358,3.75,0
F116Q1002350,201609,128986.14,0,7,173,3.375,0
F116Q1002395,201610,150227.4,0,8,352,4.0,0
F116Q1002410,201612,118320.11,1,10,350,4.25,0
F116Q1002453,201602,136000.0,0,0,180,3.875,0
F116Q1002456,201607,47000.0,1,4,356,4.0,0
F116Q1002496,201607,318000.0,0,4,356,4.25,0
F116Q1002512,201612,374319.79,0,10,350,3.875,0
F116Q1002523,201611,102287.65,1,9,172,3.375,0
F116Q1002523,201612,100914.24,1,10,171,3.375,0
F116Q1002525,201608,71000.0,0,5,355,4.25,0
F116Q1002563,201605,56000.0,0,2,358,4.125,0
F116Q1002563,201608,55000.0,0,5,355,4.125,0
F116Q1002587,201610,157439.26,0,7,353,4.375,0
F116Q1002621,201604,172000.0,0,1,359,4.125,0
F116Q1002637,201610,183222.07,1,8,352,4.625,0
F116Q1002643,201610,78551.82,0,7,353,4.25,0
F116Q1002683,201605,245000.0,0,3,357,4.125,0
F116Q1002688,201609,77867.81,1,7,173,3.25,0
F116Q1002688,201610,77867.81,1,8,172,3.25,0
F116Q1002688,201611,77164.37,1,9,171,3.25,0
F116Q1002688,201612,76811.22,1,10,170,3.25,0
F116Q1002720,201605,37000.0,0,3,357,3.875,0
F116Q1002762,201607,49000.0,0,5,235,3.875,0
F116Q1002793,201602,278000.0,0,0,240,4.125,0
F116Q1002793,201604,278000.0,1,2,238,4.125,0
F116Q1002857,201608,179000.0,1,5,355,4.125,0
F116Q1002870,201602,82000.0,0,0,240,3.75,0
F116Q1002874,201604,121000.0,0,1,359,4.125,0
F116Q1002925,201602,115000.0,0,0,360,4.0,0
F116Q1002932,201612,196671.79,0,9,351,4.25,0
F116Q1002951,201606,97000.0,1,3,357,4.875,0
F116Q1002969,201607,260000.0,1,4,356,4.625,0
F116Q1003002,201608,257000.0,0,6,354,4.125,0
F116Q1003019,201610,79182.37,1,8,352,4.0,0
F116Q1003019,201612,79064.38,1,10,350,4.0,0
F116Q1003030,201606,132000.0,0,4,355,4.25,0
F116Q1003038,201609,152960.64,0,7,353,4.5,0
F116Q1003084,201608,185000.0,0,5,355,4.375,0
F116Q1003101,201604,325000.0,1,2,358,4.25,0
F116Q1003131,201610,103383.57,1,8,352,4.5,0
F116Q1003131,201612,103383.57,1,10,350,4.5,0
F116Q1003159,201609,190000.0,0,6,174,3.375,0
F116Q1003172,201607,314000.0,1,4,356,4.125,0
F116Q1003207,201611,197245.35,1,9,351,4.0,0
F116Q1003207,201612,196649.66,1,10,350,4.0,0
F116Q1003245,201605,192000.0,0,3,356,3.875,0
F116Q1003303,201607,221000.0,0,5,355,4.375,0
F116Q1003354,201611,317347.55,1,9,170,3.125,0
F116Q1003396,201606,78000.0,0,3,357,4.125,0
F116Q1003458,201608,67000.0,0,6,354,5.0,0
F116Q1003472,201607,267000.0,1,5,355,4.875,0
F116Q1003472,201608,266000.0,1,6,354,4.875,0
F116Q1003472,201609,265903.38,1,7,353,4.875,0
F116Q1003472,201610,265565.86,1,8,352,4.875,0
F116Q1003472,201611,265226.97,1,9,351,4.875,0
F116Q1003472,201612,264886.7,1,10,350,4.875,0
F116Q1003482,201603,165000.0,0,1,359,4.0,0
F116Q1003492,201606,254000.0,0,4,356,4.5,0
F116Q1003503,201610,87861.03,0,8,352,4.0,0
F116Q1003544,201610,197901.13,1,8,352,4.5,0
F116Q1003544,201612,197084.35,1,10,350,4.5,0
F116Q1003547,201603,386000.0,1,1,358,3.875,0
F116Q1003557,201605,79000.0,0,3,177,3.25,0
F116Q1003571,201608,441000.0,1,6,354,4.375,0
F116Q1003583,201608,615000.0,1,6,354,4.5,0
F116Q1003583,201610,613382.04,0,8,352,4.5,0
F116Q1003589,201602,100000.0,0,0,180,3.125,0
F116Q1003602,201608,162000.0,0,6,354,4.0,0
F116Q1003615,201603,183000.0,1,1,359,4.0,0
F116Q1003615,201604,182000.0,1,2,358,4.0,0
F116Q1003640,201604,205000.0,0,2,358,3.75,0
F116Q1003661,201607,139000.0,0,5,355,4.625,0
F116Q1003668,201610,122764.29,0,7,353,4.125,0
F116Q1003670,201609,180404.04,0,7,233,3.875,0
F116Q1003675,201607,440000.0,1,5,355,4.125,0
F116Q1003691,201604,320000.0,1,2,178,3.0,0
F116Q1003745,201605,309000.0,0,3,357,3.99,0
F116Q1003762,201606,144000.0,0,4,236,3.75,0
F116Q1003768,201604,611000.0,1,2,358,4.0,0
F116Q1003787,201610,251037.91,0,8,352,4.0,0
F116Q1003813,201602,290000.0,0,0,180,3.0,0
F116Q1003829,201612,169785.45,0,9,351,4.125,0
F116Q1003871,201605,136000.0,1,2,178,3.125,0
F116Q1003877,201611,87939.54,0,9,171,3.375,0
F116Q1003915,201605,271000.0,0,2,359,3.875,0
F116Q1003941,201605,120000.0,0,3,357,4.0,0
F116Q1003947,201606,138000.0,0,4,355,5.125,0
F116Q1003962,201605,197000.0,1,3,177,3.5,0
F116Q1004008,201608,55000.0,0,5,115,3.25,0
F116Q1004035,201605,0.0,0,3,237,3.625,0
F116Q1004052,201611,78964.21,1,9,171,3.625,0
F116Q1004052,201612,78612.94,1,10,170,3.625,0
F116Q1004059,201612,0.0,1,8,172,3.125,0
F116Q1004093,201606,258000.0,0,4,355,4.25,0
F116Q1004095,201611,278624.15,0,9,231,3.875,0
F116Q1004173,201609,211422.57,0,7,353,4.375,0
F116Q1004179,201609,512095.47,0,7,353,4.125,0
